Age,Gender,Height,Weight,CALC,FAVC,FCVC,NCP,SCC,SMOKE,CH2O,family_history_with_overweight,FAF,TUE,CAEC,BMI,MTRANS_Automobile,MTRANS_Bike,MTRANS_Motorbike,MTRANS_Public_Transportation,MTRANS_Walking
-0.8309231711367714,1,0.6205410000631052,-0.289868828099849,2.0,1,-0.8095852938684521,0.4023532302146519,0,0,1.6019266592521622,1,-0.024257370285858674,2.2420222951428874,2.0,-0.5232476909747937,0,0,0,1,0
-0.36149465368892225,1,0.5139950526078937,-0.6354166257396147,0.0,0,-0.8095852938684521,0.4023532302146519,0,0,1.6019266592521622,0,-0.024257370285858674,0.5764538328718619,1.0,-0.8537633523222632,0,0,0,1,0
-0.9873993436193877,1,-0.018734684668163807,-1.1998113618845654,1.0,1,1.080202056526309,0.4023532302146519,0,0,-0.029305163774832554,1,2.3361143512557208,-1.0891146293991636,1.0,-1.3186249756025974,0,0,0,1,0
-0.751685358629472,1,1.307218976817197,0.04247247826192266,1.0,1,0.6900762456981648,1.4197644915177676,0,0,0.6705895309813069,1,1.2675056221339231,-0.4339499502171576,1.0,-0.4195303263671954,0,0,0,1,0
-1.1305359223978613,0,-1.7701582781264202,-1.1245923637175421,1.0,1,-0.8614694055735403,-0.4496407454624568,1,0,-0.5006104494747301,0,-1.091715418193405,0.894665684294128,1.0,-0.6758570976062991,0,0,0,1,0
0.008121468760405723,1,0.15895199190289283,-0.04946972790807395,1.0,1,-0.8095852938684521,-0.015462945493166036,0,0,0.10761880421823034,1,-0.458372216568343,0.5661039904473096,1.0,-0.0951087892520718,0,0,0,1,0
-0.5179708261715386,0,-1.9365617388619685,-1.7104542183966633,1.0,1,1.080202056526309,-2.1779376168872213,0,0,-1.6605369868018272,0,-1.2044432310566484,-1.0891146293991636,2.0,-1.4380536593916684,0,0,0,1,0
0.4501273805045034,1,-0.23699405803016294,0.62670830018795,0.0,1,0.45133563014809364,-2.0521613395452403,0,0,-1.2919471065342933,1,-0.9601990464266904,0.5814688595117601,1.0,0.8463032512407686,0,0,0,1,0
1.7403025271917578,0,-0.4110581723877423,-0.2462849995661447,0.0,1,-0.8095852938684521,0.4023532302146519,0,0,-0.041461103320029745,1,-1.1581716840134082,1.4570631968330248,1.0,-0.09035743866190986,1,0,0,0,0
-0.5179708261715386,1,0.1943572102422592,-0.44344562705085594,0.0,1,-0.8095852938684521,0.4023532302146519,0,0,-1.6605369868018272,0,-0.024257370285858674,-1.0891146293991636,1.0,-0.5422401198727199,0,0,0,1,0
0.6341865467676657,1,0.9772142137641716,1.004975750026827,1.0,1,-0.8261398310579104,0.4023532302146519,0,0,-0.029305163774832554,1,-1.2044432310566484,-0.6011763549660931,1.0,0.6683982248094693,0,0,0,1,0
0.19644648843778859,0,-0.6325245787681444,0.7079227830092221,1.0,1,1.080202056526309,0.4023532302146519,0,0,-1.3276759771540536,1,-1.0925014219766782,-0.0835509882615037,1.0,1.152464133184552,0,0,0,1,0
-0.36149465368892225,1,-0.018734684668163807,-0.7736357447955207,0.0,0,-0.8095852938684521,0.4023532302146519,0,0,-0.029305163774832554,1,-1.2044432310566484,-1.0891146293991636,2.0,-0.8389470456041644,0,0,0,1,0
-0.9873993436193877,0,0.08781126278704769,-0.44344562705085594,0.0,1,1.080202056526309,0.4023532302146519,0,0,-0.029305163774832554,1,-0.024257370285858674,-1.0891146293991636,1.0,-0.5051010630885192,0,0,0,1,0
0.3412282576937445,1,1.8193640370449071,1.3187865950097695,1.0,1,0.028607207950939812,0.4023532302146519,0,0,1.5032240841044446,1,0.2213888751466951,0.1416322022690766,1.0,0.5978223550729692,0,0,0,1,0
-0.20501848120630586,1,1.0467247898839511,0.1324673690154202,2.0,1,-2.6993726442632133,0.4023532302146519,0,0,-0.029305163774832554,1,-1.2044432310566484,2.2420222951428874,3.0,-0.239229593584103,0,0,0,1,0
0.2644100362415433,0,-0.8423028947127109,0.9470460823379111,1.0,1,1.080202056526309,0.4023532302146519,0,0,1.124303612701681,1,-1.2044432310566484,-0.8105116615781647,1.0,1.5665320209516873,0,0,0,1,0
-0.6474296662371337,0,-1.0253701416302554,-1.6082695531684268,1.0,0,1.080202056526309,0.26531140303422457,1,0,-1.6605369868018272,0,-0.29602348918899146,-1.0891146293991636,2.0,-1.5445297806901976,0,0,0,1,0
2.8174862197999864,0,-1.2552749870491093,-0.17712817677831433,0.0,1,0.117368630011631,0.36907263886873176,0,0,-0.2792849157264274,1,-1.2044432310566484,-1.0891146293991636,1.0,0.3703339323023629,1,0,0,0,0
0.5510321356631263,1,0.02418202296679687,0.5791575061489421,1.0,1,0.38173854160775567,-2.1779376168872213,0,0,-1.6605369868018272,1,-0.9148799093730922,-0.5640258504151379,1.0,0.6629371844630465,1,0,0,0,0
0.9282753761877741,1,0.6181117524611252,1.2221854062783957,1.0,1,-0.2189738328242784,0.4023532302146519,0,0,0.31010197917874804,1,0.0662864889524762,0.6359329482280226,1.0,1.0658082477527757,1,0,0,0,0
0.42088620872415966,0,-1.616923896496334,-0.9425702236416286,1.0,1,1.080202056526309,-2.1779376168872213,0,0,-1.6605369868018272,0,-0.024257370285858674,-1.0891146293991636,1.0,-0.48542678100781966,0,0,0,1,0
